date,action,symbol,shares,price,value,commission,stamp_duty,total_cost,rationale
2026-07-10,BUY,RR.L,333,14.38,4788.54,9.95,23.94,4822.43,"Defence/aerospace momentum; European rearmament"
2026-07-10,BUY,LLOY.L,3571,1.12,3999.52,9.95,20.00,4029.47,"UK banks rally; BoE capital easing; replaces HSBA (owner already holds HSBC elsewhere)"
2026-07-10,BUY,PCT.L,587,6.81,3997.47,9.95,19.99,4027.41,"AI/semis exposure via LSE trust"
2026-07-10,BUY,AZN.L,31,128.34,3978.54,9.95,19.89,4008.38,"Pharma quality, defensive ballast"
2026-07-10,BUY,BA.L,173,18.51,3202.23,9.95,16.01,3228.19,"Defence backlog, geopolitical tailwind"
2026-07-10,BUY,SMT.L,216,14.78,3192.48,9.95,15.96,3218.39,"Growth/private tech, SpaceX IPO catalyst"
2026-07-10,BUY,SGLN.L,54,59.29,3201.66,9.95,0.00,3211.61,"Gold hedge: inflation + tariff event (ETC, no stamp)"
2026-07-10,BUY,VFEM.L,52,61.27,3186.04,9.95,0.00,3195.99,"EM diversification (Irish ETF, no stamp)"
2026-07-10,BUY,GLEN.L,548,5.11,2800.28,9.95,0.00,2810.23,"Miners upcycle (Jersey-incorporated, no stamp)"
2026-07-10,BUY,III.L,103,27.04,2785.12,9.95,13.93,2809.00,"Quality compounder"
2026-07-22,BUY,PCT.L,175,6.59,1153.25,9.95,5.77,1168.97,"Add on thesis confirmation: Alphabet raised 2026 capex to $175-185bn while PCT still below entry"
2026-07-28,BUY,PCT.L,139,6.11,849.29,9.95,4.25,863.49,"Published 620p trigger fired at 611p close; tranche sized to keep PCT under 15% cap into Fed + RR results"
2026-08-03,SELL,AZN.L,31,115.00,3565.00,9.95,0.00,3555.05,"Thesis break: bought as defensive ballast, now a BMS mega-merger deal stock with months of overhang (Berenberg: shares likely remain depressed). Realized -413 loss."
2026-08-04,BUY,ULVR.L,37,47.48,1756.76,9.95,8.78,1775.49,"Replace AZN ballast: Unilever Q2 volume+pricing beat; half-tranche only after +8% results pop, remainder triggers under ~4600p"
